Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.924564    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.925996    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.926020    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.926055    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.926068    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.926098    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.926126    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.945439    5865 garbagecollector.go:792] "failed to discover some groups" groups="map[\"metrics.k8s.io/v1beta1\":\"stale GroupVersion discovery: metrics.k8s.io/v1beta1\"]"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.958896    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.963856    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.964130    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.964242    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.964311    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.964361    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.964419    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:38 control k3s[5865]: I0221 00:06:38.969155    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.034536    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.036872    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.037608    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.038082    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.038351    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.038891    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.039086    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.039359    5865 node_lifecycle_controller.go:1234] "Initializing eviction metric for zone" zone=""
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.040285    5865 node_lifecycle_controller.go:886] "Missing timestamp for Node. Assuming now as a timestamp" node="control"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.045359    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.050361    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.053046    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.054195    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.055860    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.062969    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.065573    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.077938    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.090611    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.090891    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.090960    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.091764    5865 shared_informer.go:377] "Caches are synced"
